,train loss,test_acc,test_loss
0,0.47315578907728195,0.8312,0.5163145227606889
1,0.48206817358732224,0.8311,0.5161758632796585
2,0.5003888607025146,0.8311,0.5151015065468041
3,0.511792965233326,0.8312,0.5139799898217439
4,0.49960462376475334,0.8304,0.5136077238875589
5,0.5137309432029724,0.8311,0.5135851811831165
6,0.5258702859282494,0.8313,0.5145644004557542
7,0.5004291906952858,0.8315,0.5128985339668906
8,0.5315630994737148,0.8306,0.5143480251549156
9,0.5010487698018551,0.8314,0.515357484578327
